Variable Name,Location,Varaible Description
fBodyGyro-mean()-Y,62,Mean angular velocity along Y axis measured in frequency
fBodyGyro-mean()-Z,63,Mean angular velocity along Z axis measured in frequency
fBodyGyro-std()-X,64,Standard deviation of angular velocity along X axis measured in frequency
fBodyGyro-std()-Y,65,Standard deviation of angular velocity along Y axis measured in frequency
fBodyGyro-std()-Z,66,Standard deviation of angular velocity along Z axis measured in frequency
fBodyGyro-meanFreq()-X,67,Mean frequency of angular acceleration along X axis measured in frequency
fBodyGyro-meanFreq()-Y,68,Mean frequency of angular acceleration along Y axis measured in frequency
fBodyGyro-meanFreq()-Z,69,Mean frequency of angular acceleration along Z axis measured in frequency
fBodyAccMag-mean(),70,Mean magnitude of acceleration measured in frequency
fBodyAccMag-std(),71,Standard deviation of magnitude of acceleration measured in frequency
fBodyAccMag-meanFreq(),72,Mean frequency of magnitude of acceleration measured in frequency
fBodyBodyAccJerkMag-mean(),73,Mean magnitude of jerk measured in frequency
fBodyBodyAccJerkMag-std(),74,Standard deviation of magnitude of jerk measured in frequency 
fBodyBodyAccJerkMag-meanFreq(),75,Mean frequency of magnitude of jerk measured in frequency
fBodyBodyGyroMag-mean(),76,Mean magnitude of angular velocity measured in frequency
fBodyBodyGyroMag-std(),77,Standard deviation of magnitude of angular velocity measured in frequency
fBodyBodyGyroMag-meanFreq(),78,Mean frequency of magnitude of angular velocity measured in frequency
fBodyBodyGyroJerkMag-mean(),79,Mean magnitude of angular jerk measured in frequency
fBodyBodyGyroJerkMag-std(),80,Standard deviation of magnitude of angular jerk measured in frequency
fBodyBodyGyroJerkMag-meanFreq(),81,Mean frequency of magnitude of angular jerk measured in frequency
